step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
100,9,31.5,31.5,68.0,25.0,25.0,940.0,False
100,10,31.5,31.5,68.0,25.0,25.0,940.0,False
100,11,31.5,31.5,68.0,25.0,25.0,940.0,False
100,12,31.5,31.5,68.0,25.0,25.0,940.0,False
100,13,31.5,31.5,68.0,25.0,25.0,940.0,False
100,14,31.5,31.1,67.6,25.0,605.0,360.0,False
100,0,112.8,31.1,148.9,551.0,25.0,414.0,False
100,1,31.1,26.6,62.7,25.0,42.3,922.7,False
100,2,26.6,26.5,58.1,42.3,25.2,922.5,False
100,3,26.5,22.5,54.0,25.2,37.2,927.6,False
100,4,22.5,21.6,49.0,37.2,26.4,926.4,True
100,5,21.6,20.0,46.6,98.8,30.2,861.0,True
100,6,20.0,16.7,41.7,61.5,29.6,898.8,True
100,7,16.7,22.3,44.0,64.8,20.4,904.8,False
100,8,21.3,12.2,38.5,20.4,36.1,933.5,False
100,9,12.2,44.4,61.6,36.1,7.3,946.5,False
100,10,34.7,8.3,47.9,7.3,46.7,936.0,False
100,11,8.3,90.1,103.4,998.8,36.3,955.0,False
100,12,44.5,8.3,57.7,55.3,998.8,936.0,True
100,13,4.5,178.2,187.7,16.3,551.0,422.7,True
100,14,61.6,36.8,103.3,36.3,602.3,351.4,False
200,0,34.5,34.5,74.0,642.1,25.0,322.9,False
200,1,34.5,34.5,74.0,25.0,14.8,950.2,False
200,2,34.5,34.5,74.0,14.8,25.0,950.2,False
200,3,34.5,36.0,75.5,25.0,15.0,950.0,False
200,4,35.8,35.7,76.5,15.0,25.0,950.0,False
200,5,35.7,41.0,81.7,25.0,16.9,948.1,False
200,6,40.1,38.9,83.9,16.9,25.0,948.1,False
200,7,38.9,46.3,90.1,25.0,19.8,945.2,False
200,8,44.8,42.9,92.6,19.8,25.0,945.2,False
200,9,42.9,48.2,96.1,25.0,22.4,942.6,False
200,10,47.3,46.1,98.3,22.4,25.0,942.6,False
200,11,46.1,48.6,99.6,25.0,24.0,941.0,False
200,12,48.3,47.9,101.2,24.0,25.0,941.0,False
200,13,47.9,48.8,101.7,25.0,24.7,940.3,False
200,14,48.7,34.5,88.2,24.7,642.4,322.9,False
200,0,269.8,34.5,309.2,483.9,39.2,466.9,True
200,1,138.5,38.1,181.6,460.1,78.1,451.9,True
200,2,38.0,34.8,77.8,996.7,73.2,920.2,True
200,3,33.8,31.9,70.7,76.4,90.0,823.6,True
200,4,34.9,31.9,71.8,74.8,10.1,905.0,False
200,5,31.9,27.7,64.6,10.1,54.9,925.0,False
200,6,27.7,29.2,62.0,54.9,27.5,907.6,False
200,7,25.9,34.2,65.1,27.6,54.3,908.1,True
200,8,29.1,15.2,49.3,27.5,79.3,883.2,False
200,9,15.2,77.8,98.0,46.7,2.6,940.7,False
200,10,56.7,6.3,67.9,2.6,41.6,945.8,False
200,11,4.5,4.5,14.0,56.5,63.0,870.5,True
200,12,6.3,4.5,15.8,996.8,54.7,938.5,True
200,13,4.5,447.0,456.5,176.8,415.8,397.3,False
200,14,42.7,143.5,191.2,47.4,545.3,397.3,True
300,0,5.0,215.7,225.7,44.0,996.0,950.0,True
300,1,34.6,5.3,44.9,677.0,73.4,239.6,True
300,2,5.3,211.9,222.2,23.4,16.6,950.0,False
300,3,34.5,5.3,44.8,45.0,23.4,921.6,True
300,4,8.0,178.5,191.6,3.9,36.1,950.1,False
300,5,133.0,8.0,146.1,16.6,3.9,969.6,False
300,6,13.7,123.4,142.1,37.7,2.2,950.1,False
300,7,83.8,20.3,109.1,2.2,26.4,961.4,False
300,8,20.3,72.9,98.2,26.4,13.3,950.3,False
300,9,55.6,25.9,86.4,13.3,19.5,957.2,False
300,10,25.9,45.8,76.7,19.5,19.7,950.8,False
300,11,40.4,30.0,75.4,19.7,16.1,954.2,False
300,12,30.0,36.6,71.6,16.1,22.9,951.0,False
300,13,35.3,33.4,73.7,22.9,15.2,951.9,False
300,14,33.4,5.0,43.4,15.2,725.9,248.8,False
300,0,6.1,434.9,446.0,48.4,68.8,872.8,False
300,1,129.0,6.1,140.0,507.7,48.4,433.9,True
300,2,40.3,247.0,292.3,405.8,998.6,585.6,True
300,3,263.4,21.9,290.3,68.8,109.3,811.9,False
300,4,21.9,88.4,115.3,18.7,61.2,910.1,False
300,5,213.6,21.9,240.5,159.4,18.7,811.9,False
300,6,25.1,40.4,70.5,48.8,32.2,909.0,False
300,7,36.5,63.4,104.8,32.2,30.3,927.5,False
300,8,65.8,25.1,95.9,61.2,48.8,880.0,False
300,9,53.8,21.7,80.5,30.3,49.2,910.5,False
300,10,21.7,386.0,412.8,995.9,506.8,487.3,True
300,11,9.2,624.8,639.0,147.1,354.7,488.2,False
300,12,15.0,506.0,526.0,72.8,429.0,488.2,False
300,13,4.5,731.2,740.7,219.5,282.3,488.2,False
300,14,40.4,15.0,60.4,83.6,73.7,832.7,True
400,0,4.5,128.5,138.0,22.1,16.0,951.9,False
400,1,63.5,4.5,73.0,680.5,168.5,141.0,True
400,2,32.0,4.5,41.5,141.4,22.1,826.5,True
400,3,34.5,32.0,71.5,45.0,91.4,853.6,True
400,4,83.2,4.5,92.7,2.2,16.6,971.1,False
400,5,4.5,128.5,138.0,805.4,2.2,182.4,False
400,6,54.7,5.7,65.5,16.9,2.1,971.0,False
